cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
16893000163,2005-01-04,2006-11-22,473,34.861274922321584,34.98273153650757
802392000102,2005-01-04,2011-10-04,1694,49.427272716040704,125.41174513357393
802726000148,2005-01-04,2014-04-29,2338,180.1489291877644,179.51030759967534
806282000119,2005-01-04,2008-02-20,783,54.29919314013327,55.076081202157965
822055000187,2005-01-04,2020-05-07,3850,486.84176146165765,386.9385965440169
826912000117,2005-01-04,2008-10-13,947,60.982836809468836,67.0514093466449
856755000192,2005-01-04,2020-05-07,3851,353.8128507115731,386.9385965440169
1100310000140,2005-01-04,2006-08-18,409,30.446479307272956,30.56042811121742
1170579000101,2005-01-04,2012-05-21,1852,289.6132373631547,139.68951835223945
1170961000107,2005-01-04,2005-05-30,100,5.1300642932806895,7.006544746925747
1465734000109,2005-01-04,2006-03-24,308,6.6282688115586685,23.274533535907892
1474512000152,2005-01-04,2005-04-01,61,3.2742256365540623,4.109743398296151
1569620000109,2005-01-04,2006-03-10,297,5.80193493422152,22.530828480237464
1617363000133,2005-01-04,2006-10-20,452,4.397254716024834,33.55365716674439
1618474000164,2005-01-04,2008-12-01,982,80.41730619753426,70.0030641295391
1626781000197,2005-01-04,2017-09-19,3190,182.85558554013795,317.5662501533621
1663433000190,2005-01-04,2016-02-02,2783,220.0127300630969,243.79144096556615
2198412000103,2005-01-04,2014-05-29,2337,165.31401156016506,181.9093263184986
2498604000135,2005-01-04,2020-05-07,3851,470.2853338454422,386.9385965440169
2668782000167,2005-01-04,2020-05-07,3849,218.85881132557864,386.9385965440169
2850617000121,2005-01-04,2020-02-03,3787,372.8290319823091,382.2945814281062
2849154000188,2005-01-04,2007-04-05,565,34.59689906038561,41.133310743858665
3052798000103,2005-01-04,2011-12-15,1744,89.21448347177959,130.18693505848117
3060846000105,2005-01-04,2007-08-23,662,45.41986429288456,47.41712238284301
3102081000129,2005-01-04,2020-05-07,3850,367.50280264347833,386.9385965440169
3182760000155,2005-01-04,2006-12-27,497,36.158352882979415,36.59174717117195
3196076000122,2005-01-04,2005-07-13,132,3.511802967699462,9.481238744158937
3319016000150,2005-01-04,2020-05-07,3851,179.72067534370112,386.9385965440169
3322719000137,2005-01-04,2010-09-30,1441,94.00235028984754,102.0310310157416
794186000106,2005-01-04,2007-06-25,619,41.33854368274614,44.68621074019787
829277000121,2005-01-04,2005-04-20,74,4.641639217849369,5.0571996491284965
1206413000190,2005-01-04,2005-06-16,113,-0.9990212330851955,8.005400163729458
1597021000107,2005-01-04,2009-11-13,1220,86.7536795597234,86.77449108303037
1597189000104,2005-01-04,2017-05-17,3106,331.9143067903193,304.3591381098106
1608399000150,2005-01-04,2020-05-07,3850,511.2744828396275,386.9385965440169
1611303000103,2005-01-04,2009-10-29,1210,93.62452440493843,86.16204024183077
1620845000142,2005-01-04,2014-12-22,2506,195.04512960322117,199.35862904585582
1972658000128,2005-01-04,2008-12-15,992,69.75545031168096,70.8573511721116
2198411000169,2005-01-04,2020-05-07,3828,315.0412667187278,386.9385965440169
2293873000165,2005-01-04,2005-10-19,200,14.015821823838536,14.898020479933539
2376888000197,2005-01-04,2006-12-15,490,31.72019725402442,36.12418162081281
2668201000197,2005-01-04,2020-05-07,3850,556.4230218081831,386.9385965440169
2764427000191,2005-01-04,2020-05-07,3851,243.91850111948355,386.9385965440169
2832972000178,2005-01-04,2017-07-27,3156,189.00324139317294,312.34374307199005
2814094000168,2005-01-04,2011-11-10,1720,144.6199704432194,127.88044196116286
2911408000140,2005-01-04,2020-05-07,3850,217.52768021315677,386.9385965440169
2935825000123,2005-01-04,2019-11-18,3735,222.89511932641886,377.78339320749916
2935788000153,2005-01-04,2020-05-07,3850,404.51214245233535,386.9385965440169
3079923000179,2005-01-04,2020-05-07,3850,508.08997526253046,386.9385965440169
3322891000190,2005-01-04,2020-05-07,3851,242.5706774877311,386.9385965440169
792338000123,2005-01-04,2007-03-29,560,31.432874648506683,40.800200603033176
888897000131,2005-01-04,2020-05-07,3850,363.8949543080507,386.9385965440169
1052223000165,2005-01-04,2005-04-07,65,2.389800044402657,4.400560571449685
1135345000115,2005-01-04,2020-05-07,3848,126.15721591540701,386.9385965440169
1144348000115,2005-01-04,2005-04-01,61,3.7442946692476387,4.109743398296151
1261723000107,2005-01-04,2009-07-02,1127,80.19822236158356,81.11600903439538
1508152000162,2005-01-04,2020-05-07,3851,244.8366982306236,386.9385965440169
1578476000177,2005-01-04,2020-05-07,3850,80.53921434686444,386.9385965440169
1620606000192,2005-01-04,2020-05-07,3850,360.76115861029575,386.9385965440169
1627293000102,2005-01-04,2006-04-20,326,18.728279023207726,24.621601300838414
1627295000193,2005-01-04,2006-12-21,494,36.240887153556955,36.391001233174
1960341000171,2005-01-04,2020-05-07,3851,167.46643598480978,386.9385965440169
2036400000182,2005-01-04,2005-11-09,214,15.71840117808756,16.010687273611413
2162620000152,2005-01-04,2020-05-07,3851,588.1733021369771,386.9385965440169
2355644000128,2005-01-04,2011-04-11,1573,-99.76356014920046,113.32732161286789
2494703000149,2005-01-04,2008-09-25,935,67.5023688237296,66.03758854536818
2513875000112,2005-01-04,2020-05-07,3851,393.823973702737,386.9385965440169
2567987000156,2005-01-04,2005-06-23,118,7.283525383554279,8.391790397101184
2935811000100,2005-01-04,2005-03-11,47,3.0945606366366896,3.107069075746405
3020853000183,2005-01-04,2008-08-08,901,47.88289357857671,63.30779519763825
3154212000111,2005-01-04,2010-12-02,1483,104.08018306711276,105.46407559891225
3243641000165,2008-03-05,2020-05-07,3059,212.56603483140566,212.6940890547794
195001000139,2005-01-04,2017-07-04,3139,347.58031188183435,309.66583798981213
766538000101,2005-01-04,2013-11-07,2223,151.16811557796228,167.34989996622255
813340000131,2005-01-04,2020-05-07,3851,163.53839240560677,386.9385965440169
823509000134,2005-01-04,2006-03-20,304,23.52888368199335,22.976561513217565
826435000190,2005-01-04,2005-04-01,61,3.745238531490802,4.109743398296151
826444000180,2005-01-04,2005-09-30,188,13.14297789189487,13.931459014010317
829288000101,2005-01-04,2020-05-07,3849,383.2238911042257,386.9385965440169
979996000129,2005-01-04,2005-10-14,197,13.919647321567119,14.656090125277244
1146546000118,2005-01-04,2006-01-12,259,16.59211744332003,19.54625630037117
1147645000114,2005-01-04,2006-01-17,262,-12.487463542705646,19.78075479275223
1424041000178,2005-01-04,2020-05-07,3849,472.4831359280175,386.9385965440169
1562582000162,2005-01-04,2020-05-07,3851,402.56012597024153,386.9385965440169
1769970000119,2005-01-04,2009-10-09,1197,-22.118344774851295,85.36999815906081
1776200000101,2012-03-26,2020-05-07,2038,2.672478697980729,105.82927796100168
1889170000131,2005-01-04,2020-05-07,3850,369.0547486462097,386.9385965440169
1891007000103,2005-01-04,2011-06-27,1625,126.65692963730378,118.33400893460619
384262000105,2005-01-04,2009-06-12,1113,77.8651841230776,80.24898991373615
822059000165,2005-01-04,2020-05-07,3851,58.124851003140954,386.9385965440169
861108000179,2005-01-04,2005-03-31,60,3.6180652665805724,4.037174348073136
861129000194,2005-01-04,2008-04-25,828,56.40807104679628,58.03199307871631
863981000109,2005-01-04,2006-06-16,364,-14.660452746963415,27.363097663156964
1361073000171,2005-01-04,2020-05-07,3850,405.0912631478062,386.9385965440169
